name,median household income in dollars,12 month change in dollars
"New York, NY",79713,602
7002,81285,4763
7008,87712,10024
7020,137847,30960
7024,105594,5149
7030,176943,7527
7036,89942,3919
7047,75505,6161
7064,143194,12197
7077,106926,14437
7086,122653,23370
7093,70389,5255
7202,68071,4769
7206,60992,12209
7302,166854,10762
7305,77126,5022
7310,172946,30311
7311,179928,16657
7620,250001,
7632,222192,17380
7670,208088,21794
8861,60464,6022
10001,123393,22852
10002,46525,5561
10003,153750,11191
10004,220592,53147
10005,211810,29291
10006,209972,43452
10007,250001,
10009,87963,9219
10010,156127,11635
10011,146571,13827
10012,130938,16044
10013,159474,34293
10014,167254,11392
10016,153065,17848
10017,132518,24007
10018,133042,30991
10019,121835,16472
10020,,
10021,156712,18139
10022,171038,21200
10023,157866,17751
10024,182614,10776
10025,109195,7981
10026,74140,6817
10027,64220,5357
10028,168125,27219
10029,38308,5058
10030,42738,7344
10031,65067,5780
10032,56588,5131
10033,75585,4795
10034,69786,9328
10035,40556,6699
10036,100225,13285
10037,51250,14558
10038,115121,27456
10039,48792,12148
10040,64022,7473
10044,106146,29688
10065,160938,16422
10069,226151,70509
10075,146556,28536
10103,,
10110,,
10111,,
10112,,
10115,,
10119,,
10128,148705,7649
10152,,
10153,,
10154,,
10162,110349,65823
10165,,
10167,,
10168,,
10169,,
10170,,
10171,,
10172,,
10173,,
10174,,
10177,,
10199,,
10271,,
10278,,
10279,250001,
10280,206250,81683
10282,250001,
10301,84937,6867
10302,76089,11899
10303,79429,6375
10304,71506,7356
10305,86294,4463
10306,97746,9279
10307,138807,19123
10308,122654,16223
10309,123638,19422
10310,106118,14281
10311,,
10312,111434,4805
10314,104655,5348
10451,37111,4573
10452,37854,3385
10453,35482,3085
10454,27500,4278
10455,36701,1709
10456,35676,3575
10457,44911,4433
10458,42107,2257
10459,39276,5352
10460,36067,4274
10461,65023,3928
10462,63460,3434
10463,72952,2710
10464,100306,45037
10465,90255,7111
10466,66328,7672
10467,47806,2533
10468,46624,3636
10469,76018,4576
10470,81134,9832
10471,108738,11977
10472,43125,3106
10473,50609,5426
10474,41279,4909
10475,62383,7059
10550,56903,9526
10704,110097,7815
10705,68616,7268
10803,212288,21186
10805,89964,15357
11001,144755,13454
11003,123000,9308
11004,109865,11431
11005,91719,38342
11020,169265,33194
11021,122390,14209
11040,153511,10642
11042,,
11096,88160,17203
11101,116807,9529
11102,102996,10079
11103,92787,7094
11104,84716,8492
11105,100306,6839
11106,85573,9809
11109,198773,39233
11201,169285,9025
11203,68028,4368
11204,67588,4442
11205,86753,11764
11206,57280,6828
11207,55419,4258
11208,59988,2967
11209,92656,5362
11210,83261,6485
11211,105183,7879
11212,40060,3562
11213,62040,4888
11214,64286,2867
11215,180773,8652
11216,95000,6237
11217,158314,11672
11218,95916,5274
11219,55685,5224
11220,64201,3626
11221,85122,4626
11222,123963,8178
11223,63950,5364
11224,41449,3942
11225,85201,6326
11226,81084,4067
11228,80737,7806
11229,72556,4269
11230,69522,3821
11231,138485,10422
11232,87517,6231
11233,62034,5849
11234,94434,3565
11235,61689,3210
11236,82813,2976
11237,82570,6311
11238,132957,9879
11239,35675,4121
11249,121400,8968
11354,62833,5551
11355,53700,1747
11356,91445,10151
11357,97754,12288
11358,88729,7078
11359,,
11360,100250,11455
11361,108391,8824
11362,118989,10504
11363,110833,24557
11364,101222,11444
11365,85375,7427
11366,117402,20151
11367,75804,9172
11368,71798,3200
11369,80577,6079
11370,74895,8791
11371,,
11372,77133,6110
11373,71470,3090
11374,86333,8156
11375,104319,6763
11377,73292,5001
11378,84762,5483
11379,92509,7046
11385,87365,3960
11411,118393,8243
11412,98418,6630
11413,114766,6381
11414,98209,8729
11415,88632,6827
11416,85544,7664
11417,86330,6812
11418,84927,9438
11419,91231,6990
11420,98584,3879
11421,89439,7660
11422,108519,5576
11423,80870,10656
11424,,
11426,107591,14024
11427,92129,8688
11428,84977,14915
11429,98232,10331
11430,,
11432,75395,5405
11433,71177,7547
11434,76668,4675
11435,79430,3707
11436,86104,7522
11439,,
11451,,
11509,162500,8122
11559,156429,41261
11580,135385,14113
11581,138821,7480
11691,57027,6034
11692,49507,7136
11693,67829,19053
11694,103792,11215
11697,134844,31149